##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR39441559_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1201663
Total Bases	181.4 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.05142207091339	37.0	37.0	37.0	25.0	37.0
2	35.282595037044494	37.0	37.0	37.0	37.0	37.0
3	35.553428040973216	37.0	37.0	37.0	37.0	37.0
4	35.32375466332907	37.0	37.0	37.0	37.0	37.0
5	35.75887915330671	37.0	37.0	37.0	37.0	37.0
6	35.99999916781993	37.0	37.0	37.0	37.0	37.0
7	35.923890475116565	37.0	37.0	37.0	37.0	37.0
8	35.96634913449112	37.0	37.0	37.0	37.0	37.0
9	35.81215781795728	37.0	37.0	37.0	37.0	37.0
10-14	35.92491688601546	37.0	37.0	37.0	37.0	37.0
15-19	35.92622806893446	37.0	37.0	37.0	37.0	37.0
20-24	35.88837519337784	37.0	37.0	37.0	37.0	37.0
25-29	35.785888722545344	37.0	37.0	37.0	37.0	37.0
30-34	35.737084690133585	37.0	37.0	37.0	37.0	37.0
35-39	35.71523130861148	37.0	37.0	37.0	37.0	37.0
40-44	35.691820085997485	37.0	37.0	37.0	37.0	37.0
45-49	35.67237802944753	37.0	37.0	37.0	37.0	37.0
50-54	35.63579755721862	37.0	37.0	37.0	37.0	37.0
55-59	35.61292592016231	37.0	37.0	37.0	37.0	37.0
60-64	35.58445537559199	37.0	37.0	37.0	37.0	37.0
65-69	35.558767141869225	37.0	37.0	37.0	37.0	37.0
70-74	35.542605872029014	37.0	37.0	37.0	37.0	37.0
75-79	35.516240576600936	37.0	37.0	37.0	37.0	37.0
80-84	35.48782495591526	37.0	37.0	37.0	37.0	37.0
85-89	35.44467608639028	37.0	37.0	37.0	37.0	37.0
90-94	35.406062764685274	37.0	37.0	37.0	37.0	37.0
95-99	35.376637043830094	37.0	37.0	37.0	37.0	37.0
100-104	35.33246143053419	37.0	37.0	37.0	37.0	37.0
105-109	35.328225134667534	37.0	37.0	37.0	37.0	37.0
110-114	35.30696875912797	37.0	37.0	37.0	37.0	37.0
115-119	35.25711734487955	37.0	37.0	37.0	29.8	37.0
120-124	35.209296782875064	37.0	37.0	37.0	25.0	37.0
125-129	35.171628651294085	37.0	37.0	37.0	25.0	37.0
130-134	35.188078354746715	37.0	37.0	37.0	25.0	37.0
135-139	35.10526861524404	37.0	37.0	37.0	25.0	37.0
140-144	35.060683402917455	37.0	37.0	37.0	25.0	37.0
145-149	35.018304799265685	37.0	37.0	37.0	25.0	37.0
150-151	34.902357399703575	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2105	75-79	-0.119047330585488
2105	80-84	-0.0829061915554874
2105	85-89	0.12336521239473086
2105	90-94	-0.06876448413451897
2105	95-99	-0.13486968306449398
2105	100-104	-0.0759768160611003
2105	105-109	-0.16655353807749407
2105	110-114	-0.11639248703759364
2105	115-119	-0.05255142871337881
2105	120-124	-0.15599021194353213
2105	125-129	-0.11148560933612828
2105	130-134	-0.3208053033164262
2105	135-139	-0.19954161944787074
2105	140-144	-0.1156623960001184
2105	145-149	-0.186389397952631
2105	150-151	-0.2499942431008293
2106	1	-0.09071159601758438
2106	2	-0.19738991844985776
2106	3	-0.20782274572740533
2106	4	0.049701847657253495
2106	5	0.04158686234681852
2106	6	-0.06786349814284165
2106	7	-0.031327636908734746
2106	8	0.14936271467311002
2106	9	-0.1000416348926052
2106	10-14	-0.014212614712953098
2106	15-19	0.06471438447245248
2106	20-24	9.87798877538637E-4
2106	25-29	-0.07288740775970837
2106	30-34	-0.027969262459158983
2106	35-39	0.0494501670239913
2106	40-44	-9.064120843902401E-4
2106	45-49	0.09737376834478084
2106	50-54	-0.17446098780525432
2106	55-59	-0.13732900461825182
2106	60-64	0.02293278259122644
2106	65-69	-0.08244629162312833
2106	70-74	-0.22313716010957307
2106	75-79	-0.07121829395047996
2106	80-84	-0.020894802658588674
2106	85-89	-0.3186582293905431
2106	90-94	-0.12866806102761785
2106	95-99	-0.1379399218127233
2106	100-104	-0.20572327236757815
2106	105-109	-0.24680989651739793
2106	110-114	-0.08351191889185117
2106	115-119	-0.04364419986728052
2106	120-124	-0.1318887655969334
2106	125-129	-0.2370579411009004
2106	130-134	-0.08998310868032178
2106	135-139	-0.21945558925069264
2106	140-144	-0.18080934019596384
2106	145-149	-0.1756237147631694
2106	150-151	-0.1657755878278664
2107	1	-0.854009468358008
2107	2	-0.06441119504560078
2107	3	-0.31952487338698177
2107	4	-0.47423432255551035
2107	5	-0.14192377595105654
2107	6	0.07575352313375561
2107	7	-0.0020723177597972153
2107	8	-0.05542451936944559
2107	9	-0.0601480178713345
2107	10-14	-0.08868069981934212
2107	15-19	-0.09805157297435585
2107	20-24	-0.07879943516500987
2107	25-29	-0.03352570563205148
2107	30-34	-0.02344798586342023
2107	35-39	-0.09523068403983359
2107	40-44	-0.10383194399928897
2107	45-49	-0.20076452952756085
2107	50-54	-0.10531205163503188
2107	55-59	0.1270326975094065
2107	60-64	-0.20153530251516827
2107	65-69	-0.11037182353802422
2107	70-74	0.0260649675500062
2107	75-79	-0.06057999607814679
2107	80-84	0.06820094202227267
2107	85-89	-0.07876461236926247
2107	90-94	-0.073348912091447
2107	95-99	-0.15017396436591213
2107	100-104	-0.167159442580342
2107	105-109	-0.19255457736846893
2107	110-114	-0.21915021676419144
2107	115-119	-0.08593143390983471
2107	120-124	-0.0521015315543778
2107	125-129	-0.18546219642005468
2107	130-134	-0.10860012995691903
2107	135-139	-0.04711516371878588
2107	140-144	-0.31485189338744846
2107	145-149	-0.1758896722099763
2107	150-151	-0.3679032474023387
2108	1	-0.3880635849167504
2108	2	0.055067297091305534
2108	3	-0.16249434609743219
2108	4	-0.24423894790241718
2108	5	-0.08260370194550859
2108	6	0.2564889532910186
2108	7	0.1260497913983869
2108	8	-0.0957228542445634
2108	9	-0.25886448410629725
2108	10-14	0.03362503561081809
2108	15-19	-0.14370374688741094
2108	20-24	-0.07069351472097907
2108	25-29	-0.12943227362465848
2108	30-34	0.001725464645375041
2108	35-39	-0.031851868128640604
2108	40-44	-0.10809882651547298
2108	45-49	-0.19857905311683055
2108	50-54	-0.25713906366093653
2108	55-59	-0.06835351895681896
2108	60-64	-0.13042059391202088
2108	65-69	-0.10343380318649764
2108	70-74	-0.10368757639079718
2108	75-79	-0.09621829395047854
2108	80-84	-0.3128004455818001
2108	85-89	-0.38891724881699474
2108	90-94	-0.12102467527368788
2108	95-99	-0.37150837694686345
2108	100-104	-0.2761788690373308
2108	105-109	-0.2717752064156471
2108	110-114	-0.2128713083460667
2108	115-119	-0.38705308053333454
2108	120-124	-0.32929857133236595
2108	125-129	-0.2195625664477987
2108	130-134	-0.22315840932787268
2108	135-139	-0.32901849396854743
2108	140-144	-0.34836253168532494
2108	145-149	-0.1545321328945235
2108	150-151	-0.1078142094744905
2109	1	0.1496456687451868
2109	2	0.004751963447965579
2109	3	0.09610830444895413
2109	4	0.31362550222546304
2109	5	0.10729399626421099
2109	6	-0.2046538042072399
2109	7	0.0053801796801806745
2109	8	0.0402774945115425
2109	9	0.10153135407087177
2109	10-14	0.19648541691748989
2109	15-19	-0.011821626450291944
2109	20-24	0.15648330462336446
2109	25-29	0.08432615464784732
2109	30-34	0.09531125864676682
2109	35-39	0.03479832949981443
2109	40-44	0.015305614312246973
2109	45-49	0.013409437931770185
2109	50-54	0.02204600957784919
2109	55-59	0.07001255869952416
2109	60-64	-0.042865374195670825
2109	65-69	-0.06468118751572405
